experiment,feature,model,target,seed,n_samples,RMSE,MAE,R2,Pearson_R,Spearman_R,MAPE,sMAPE,NRMSE
predictions_OpenADMET_Phase4_FNN,AtomPair,FNN,LogD,3,1008,0.5063020851305636,0.35604769593725605,0.8135708586615351,0.9030739052529888,0.901182759104597,15.275319241667557,24.904500341934867,0.23308024378339134
predictions_OpenADMET_Phase4_FNN,AtomPair,FNN,LogD,4,1008,0.5096366958984485,0.36125287128878486,0.8055796226017293,0.8975659519130508,0.8964079963314403,15.014484750031102,26.032149883208756,0.23517386442131963
predictions_OpenADMET_Phase4_FNN,AtomPair,FNN,MLM CLint,0,905,817.3169584366473,452.1207389467724,0.29765023098778876,0.5620036146963171,0.668209750359403,202.7729771776006,89.65646593763148,1.4518001424671814
predictions_OpenADMET_Phase4_FNN,AtomPair,FNN,MLM CLint,1,905,845.5080377009808,447.3442940818671,0.3735424734870665,0.6114938520814734,0.6728141147568638,197.12893402918706,96.84487669028067,1.4882887783462762
predictions_OpenADMET_Phase4_FNN,AtomPair,FNN,MLM CLint,2,905,836.6613500772668,457.23478700658234,0.38444537901253684,0.6203675874384821,0.6352639992958856,189.63254228474645,89.45107885313406,1.4067070951358156
predictions_OpenADMET_Phase4_FNN,AtomPair,FNN,MLM CLint,3,905,787.5921848181645,438.48215179057905,0.36716679395490004,0.6072693087546123,0.6844061761737266,196.6617978067682,91.06670850442357,1.3948465816749693
predictions_OpenADMET_Phase4_FNN,AtomPair,FNN,MLM CLint,4,905,845.0655488436091,376.91104336922996,0.3830538402310564,0.6306609958916417,0.7422650407224988,98.62270305189946,74.31095159233863,1.4779217800497582
predictions_OpenADMET_Phase4_FNN,ECFP,FNN,HLM CLint,0,752,109.13824398247347,53.711580318817866,0.18706755633332306,0.4667668963015938,0.48919504890339705,280.51958500162146,102.38291717052948,2.0631670372418247
predictions_OpenADMET_Phase4_FNN,ECFP,FNN,HLM CLint,1,752,111.67550031317295,48.03784995195951,0.22368073898633867,0.48507905456446987,0.503474814970219,242.05037870249396,104.24219437306812,2.1437846370229217
predictions_OpenADMET_Phase4_FNN,ECFP,FNN,HLM CLint,2,752,100.99503171125082,47.72882455183946,0.3592624966148257,0.6020870517981927,0.5278106163697894,228.21955567449632,102.46630309315894,1.876400880698682
predictions_OpenADMET_Phase4_FNN,ECFP,FNN,HLM CLint,3,752,104.15130777449713,49.670525283366445,0.2969279901001921,0.5486338392028371,0.5406385561709954,237.61738582006225,103.85766998262622,1.9055838624244192
predictions_OpenADMET_Phase4_FNN,ECFP,FNN,HLM CLint,4,752,122.82936411552951,38.28363879868325,0.22041110664025665,0.48626730982238997,0.613446382910757,152.062030556193,83.41893880950032,2.311243273773083
predictions_OpenADMET_Phase4_FNN,ECFP,FNN,KSOL,0,1026,80.52222901428158,61.45334049294292,0.522422592171665,0.7244499987840981,0.7270665214089247,89.5116901223749,73.71917364909363,0.5739701264202296
predictions_OpenADMET_Phase4_FNN,ECFP,FNN,KSOL,1,1026,79.45696228485181,60.79604380532035,0.5140531541002769,0.7197866332234157,0.7231321975632202,79.87579624595219,68.7609396050065,0.5533887760763556
predictions_OpenADMET_Phase4_FNN,ECFP,FNN,KSOL,2,1026,82.8514161967247,63.061144849930066,0.47998151134534184,0.6961645676547362,0.687874233323948,61.89000280933603,68.03091469258449,0.5534594435882266
predictions_OpenADMET_Phase4_FNN,ECFP,FNN,KSOL,3,1026,83.21309167424506,64.05301862691891,0.4787417808890637,0.6952142620278657,0.6909638009533636,77.61604197920411,69.52527944386527,0.5644649389703399
predictions_OpenADMET_Phase4_FNN,ECFP,FNN,KSOL,4,1026,83.2782787980806,63.014640780308305,0.4862545839410105,0.702356776603778,0.6911278916570812,68.26193514045573,69.98789850578987,0.5604289988589379
predictions_OpenADMET_Phase4_FNN,ECFP,FNN,LogD,0,1008,0.4817280384845325,0.34409345224617965,0.8254812423604416,0.9089726690657578,0.9080365438008765,14.473659066680817,23.929216003556842,0.21944227348621156
predictions_OpenADMET_Phase4_FNN,ECFP,FNN,LogD,1,1008,0.49717464325373895,0.35312988242459675,0.8271112320875189,0.9098367764586289,0.909112802739291,14.8441162887471,24.568955683107948,0.22605983146600303
predictions_OpenADMET_Phase4_FNN,ECFP,FNN,LogD,2,1008,0.5152935863080047,0.3542012878294502,0.8273712030862709,0.9098648326627585,0.9105607203552183,14.981926165957123,26.079534152937207,0.23718705647498073
predictions_OpenADMET_Phase4_FNN,ECFP,FNN,LogD,3,1008,0.5119265603600509,0.36144157614085887,0.8094057945903108,0.9004330872275712,0.9069711830256768,14.785568456371683,26.17712353525648,0.2356695162674351
predictions_OpenADMET_Phase4_FNN,ECFP,FNN,LogD,4,1008,0.4941216587605621,0.35749288079521013,0.8172370412013708,0.9042690769358114,0.8977796563025487,15.155186692254095,25.68416187961627,0.22801438930949586
predictions_OpenADMET_Phase4_FNN,ECFP,FNN,MLM CLint,0,905,784.7381435177218,427.396599265393,0.3525265731636721,0.5961588272068347,0.6992504805522655,169.09081353733785,89.58615858742756,1.393930392362915
predictions_OpenADMET_Phase4_FNN,ECFP,FNN,MLM CLint,1,905,869.5619221542717,380.1731240692982,0.3373912324360483,0.587385607313335,0.7586701097114517,129.5772473017461,74.09329588082754,1.5306291520756756
